iter	RMSE
0	9631.352238
1	9391.32137
2	9168.571658
3	8944.165334
4	8725.145805
5	8515.076108
6	8316.2222
7	8134.301345
8	7951.695621
9	7787.093332
10	7624.585667
11	7469.501837
12	7323.352325
13	7172.514288
14	7041.117442
15	6906.727516
16	6781.327917
17	6663.259693
18	6545.228858
19	6429.95984
20	6320.581807
21	6236.228181
22	6149.77794
23	6058.370529
24	5979.612777
25	5895.154295
26	5812.806765
27	5736.158155
28	5659.468969
29	5593.384066
30	5524.135272
31	5464.692785
32	5408.618754
33	5347.159345
34	5297.723989
35	5237.853213
36	5191.948196
37	5144.983556
38	5105.353234
39	5052.99886
40	5008.230158
41	4972.035824
42	4929.572607
43	4886.075871
44	4851.058236
45	4819.842597
46	4787.419884
47	4757.957013
48	4723.178961
49	4696.702929
50	4666.324308
51	4638.295557
52	4611.68241
53	4585.503711
54	4561.204371
55	4536.884823
56	4516.237436
57	4498.098341
58	4475.796593
59	4459.295784
60	4438.346934
61	4420.057345
62	4401.094432
63	4379.53917
64	4355.086137
65	4328.223666
66	4314.464451
67	4304.764627
68	4289.514912
69	4268.467731
70	4252.281727
71	4235.325928
72	4216.492685
73	4202.392977
74	4189.779826
75	4171.413728
76	4157.7172
77	4145.313235
78	4128.234859
79	4114.963771
80	4103.52225
81	4088.624281
82	4074.42895
83	4066.363082
84	4052.410767
85	4041.203741
86	4020.384907
87	4010.562476
88	3998.127154
89	3989.127006
90	3976.992359
91	3961.882324
92	3953.180571
93	3939.36679
94	3927.173039
95	3917.713204
96	3905.286556
97	3891.908663
98	3883.715667
99	3877.341657
100	3870.744825
101	3862.466069
102	3849.180948
103	3834.408978
104	3828.221069
105	3823.818761
106	3818.232084
107	3809.750731
108	3801.414389
109	3794.265173
110	3789.095798
111	3784.45002
112	3773.742022
113	3762.974755
114	3751.587668
115	3746.583129
116	3733.742593
117	3729.264336
118	3721.605053
119	3707.569914
120	3699.957367
121	3692.414017
122	3685.48985
123	3676.123427
124	3667.201369
125	3660.483186
126	3655.005647
127	3644.754163
128	3637.685595
129	3627.972501
130	3621.625966
131	3613.913257
132	3605.302194
133	3598.861457
134	3591.612883
135	3582.413452
136	3580.203492
137	3573.750919
138	3566.937093
139	3562.328061
140	3554.490029
141	3548.54438
142	3538.541355
143	3533.073432
144	3529.352279
145	3519.81606
146	3514.115222
147	3504.099741
148	3499.186544
149	3490.485089
150	3485.535981
151	3478.392618
152	3472.438796
153	3465.403564
154	3460.024563
155	3452.920481
156	3444.272676
157	3432.744824
158	3430.033448
159	3421.254222
160	3417.46818
161	3411.287088
162	3405.666155
163	3397.063636
164	3391.744051
165	3386.094825
166	3374.634001
167	3366.551824
168	3362.761448
169	3355.486393
170	3346.899458
171	3338.828508
172	3326.598574
173	3319.719456
174	3312.026545
175	3306.847302
176	3300.212442
177	3293.369796
178	3290.375526
179	3285.222051
180	3280.804837
181	3271.949737
182	3263.392905
183	3257.108545
184	3253.192588
185	3243.737034
186	3237.720307
187	3234.876737
188	3224.001021
189	3218.082717
190	3209.014182
191	3203.008621
192	3194.60491
193	3190.206993
194	3182.768051
195	3177.906353
196	3174.991302
197	3167.276206
198	3161.700915
199	3155.487242
200	3147.930808
201	3145.03742
202	3137.90428
203	3131.66633
204	3126.522415
205	3122.301803
206	3113.808505
207	3109.356119
208	3103.702605
209	3097.245974
210	3090.464387
211	3078.492588
212	3072.857197
213	3066.571314
214	3056.687336
215	3047.858068
216	3045.098003
217	3035.128733
218	3028.717899
219	3020.316157
220	3009.44552
221	3004.258373
222	2999.715002
223	2994.874977
224	2989.246086
225	2985.233182
226	2982.986792
227	2978.419444
228	2973.079114
229	2965.919378
230	2956.655724
231	2949.895584
232	2944.803945
233	2938.457653
234	2933.331175
235	2926.094396
236	2913.67128
