iter	Passed	Remaining
0	29	29521
1	39	19523
2	48	16165
3	58	14539
4	68	13556
5	78	12953
6	87	12466
7	97	12129
8	109	12019
9	122	12140
10	137	12346
11	147	12170
12	157	11956
13	168	11890
14	180	11843
15	196	12073
16	212	12280
17	222	12143
18	232	12012
19	245	12049
20	257	12018
21	267	11900
22	277	11790
23	287	11705
24	297	11616
25	307	11520
26	317	11458
27	327	11379
28	337	11310
29	352	11405
30	367	11485
31	379	11471
32	393	11538
33	407	11580
34	421	11625
35	434	11628
36	448	11683
37	464	11748
38	479	11811
39	492	11822
40	508	11900
41	523	11930
42	537	11969
43	554	12049
44	566	12030
45	582	12087
46	595	12069
47	608	12063
48	622	12091
49	636	12095
50	651	12123
51	666	12143
52	679	12147
53	694	12167
54	705	12127
55	718	12110
56	734	12146
57	749	12165
58	764	12190
59	776	12162
60	791	12177
61	805	12193
62	818	12166
63	831	12166
64	846	12183
65	861	12196
66	876	12208
67	890	12208
68	905	12211
69	919	12220
70	934	12233
71	951	12260
72	962	12224
73	979	12256
74	994	12260
75	1009	12267
76	1023	12264
77	1036	12248
78	1050	12249
79	1065	12248
80	1079	12253
81	1094	12253
82	1109	12254
83	1123	12248
84	1136	12237
85	1149	12216
86	1161	12190
87	1174	12172
88	1191	12191
89	1205	12187
90	1219	12185
91	1234	12185
92	1249	12185
93	1263	12181
94	1277	12172
95	1291	12162
96	1307	12167
97	1322	12171
98	1336	12164
99	1349	12148
100	1360	12113
101	1375	12111
102	1385	12063
103	1394	12015
104	1410	12022
105	1422	11994
106	1433	11966
107	1447	11952
108	1460	11940
109	1473	11924
110	1488	11924
111	1501	11906
112	1515	11895
113	1533	11917
114	1546	11904
115	1558	11879
116	1573	11875
117	1585	11851
118	1599	11842
119	1613	11835
120	1629	11838
121	1642	11822
122	1656	11811
123	1670	11802
124	1684	11789
125	1697	11777
126	1711	11767
127	1726	11760
128	1740	11749
129	1751	11718
130	1763	11695
131	1775	11672
132	1789	11663
133	1802	11648
134	1816	11641
135	1830	11630
136	1845	11624
137	1860	11618
138	1874	11613
139	1889	11608
140	1903	11596
141	1915	11574
142	1929	11561
143	1941	11543
144	1952	11510
145	1963	11483
146	1973	11449
147	1986	11434
148	2003	11442
149	2017	11431
150	2031	11419
151	2045	11414
152	2060	11406
153	2075	11402
154	2090	11398
155	2105	11389
156	2119	11382
157	2135	11377
158	2149	11366
159	2161	11348
160	2173	11326
161	2186	11309
162	2200	11301
163	2214	11289
164	2229	11281
165	2244	11275
166	2258	11266
167	2273	11258
168	2288	11252
169	2303	11245
170	2317	11236
171	2332	11230
172	2345	11213
173	2359	11202
174	2374	11192
175	2388	11183
176	2403	11174
177	2418	11166
178	2433	11160
179	2448	11152
180	2462	11141
181	2477	11133
182	2492	11127
183	2506	11115
184	2521	11106
185	2537	11107
186	2560	11130
187	2569	11100
188	2581	11077
189	2595	11065
190	2609	11053
191	2622	11037
192	2637	11028
193	2651	11016
194	2665	11003
195	2678	10987
196	2688	10959
197	2702	10947
198	2718	10941
199	2733	10933
200	2745	10914
201	2758	10898
202	2771	10881
203	2783	10861
204	2796	10846
205	2811	10838
206	2826	10828
207	2840	10817
208	2856	10812
209	2871	10801
210	2885	10789
211	2898	10773
212	2913	10764
213	2927	10752
214	2941	10739
215	2955	10725
216	2969	10713
217	2983	10700
218	2995	10684
219	3010	10672
220	3021	10650
221	3036	10640
222	3050	10629
223	3064	10616
224	3079	10608
225	3094	10597
226	3108	10586
227	3124	10577
228	3135	10557
229	3149	10543
230	3162	10528
231	3176	10515
232	3190	10502
233	3205	10493
234	3217	10475
235	3231	10460
236	3245	10448
237	3260	10438
238	3274	10425
239	3288	10413
240	3303	10403
241	3317	10392
242	3332	10379
243	3344	10361
244	3357	10346
245	3370	10331
246	3385	10319
247	3398	10306
248	3412	10291
249	3426	10278
250	3440	10266
251	3455	10256
252	3469	10244
253	3485	10237
254	3499	10224
255	3513	10211
256	3527	10197
257	3539	10180
258	3552	10163
259	3563	10141
260	3577	10130
261	3592	10118
262	3605	10104
263	3619	10089
264	3633	10076
265	3647	10064
266	3661	10052
267	3676	10040
268	3689	10025
269	3702	10011
270	3717	10000
271	3728	9980
272	3740	9959
273	3754	9947
274	3768	9935
275	3782	9922
276	3797	9912
277	3812	9902
278	3827	9890
279	3841	9878
280	3856	9868
281	3871	9856
282	3885	9844
283	3899	9831
284	3913	9817
285	3924	9797
286	3941	9791
287	3954	9776
288	3969	9764
289	3983	9753
290	3997	9738
291	4011	9727
292	4025	9713
293	4039	9700
294	4054	9689
295	4068	9677
296	4081	9662
297	4095	9647
298	4109	9635
299	4121	9615
300	4131	9594
301	4145	9581
302	4159	9567
303	4173	9554
304	4188	9545
305	4202	9531
306	4216	9518
307	4228	9501
308	4243	9488
309	4256	9474
310	4271	9462
311	4285	9450
312	4299	9437
313	4311	9418
314	4323	9402
315	4336	9386
316	4350	9373
317	4365	9361
318	4379	9348
319	4394	9337
320	4409	9326
321	4425	9317
322	4440	9306
323	4455	9296
324	4469	9283
325	4484	9271
326	4497	9256
327	4511	9243
328	4525	9230
329	4538	9215
330	4553	9203
331	4567	9190
332	4582	9178
333	4596	9165
334	4611	9153
335	4625	9141
336	4641	9130
337	4655	9117
338	4668	9103
339	4683	9090
340	4696	9075
341	4708	9058
342	4719	9039
343	4733	9026
344	4748	9014
345	4761	9000
346	4775	8986
347	4789	8973
348	4803	8960
349	4818	8949
350	4833	8937
351	4848	8925
352	4879	8942
353	4901	8944
354	4922	8944
355	4937	8932
356	4952	8920
357	4966	8906
358	4980	8893
359	4994	8879
360	5008	8865
361	5023	8854
362	5037	8840
363	5051	8825
364	5065	8813
365	5080	8799
366	5094	8787
367	5107	8772
368	5121	8758
369	5136	8745
370	5150	8732
371	5165	8720
372	5179	8706
373	5193	8692
374	5205	8675
375	5220	8663
376	5234	8650
377	5248	8636
378	5261	8620
379	5275	8606
380	5290	8594
381	5300	8575
382	5311	8556
383	5323	8539
384	5337	8525
385	5350	8510
386	5364	8497
387	5379	8485
388	5394	8472
389	5408	8460
390	5422	8445
391	5437	8432
392	5451	8420
393	5466	8407
394	5478	8391
395	5489	8373
396	5506	8364
397	5520	8350
398	5534	8336
399	5561	8342
400	5577	8331
401	5593	8320
402	5609	8309
403	5624	8297
404	5638	8284
405	5653	8271
406	5666	8256
407	5678	8239
408	5689	8221
409	5702	8205
410	5716	8192
411	5730	8178
412	5743	8163
413	5755	8147
414	5769	8133
415	5782	8117
416	5795	8102
417	5810	8090
418	5824	8075
419	5837	8061
420	5852	8049
421	5866	8035
422	5878	8019
423	5891	8003
424	5907	7992
425	5921	7979
426	5935	7965
427	5950	7951
428	5964	7938
429	5977	7924
430	5992	7911
431	6007	7899
432	6022	7885
433	6036	7872
434	6051	7859
435	6066	7847
436	6078	7831
437	6090	7815
438	6101	7797
439	6114	7782
440	6128	7768
441	6142	7754
442	6158	7742
443	6173	7730
444	6186	7715
445	6199	7701
446	6215	7688
447	6230	7676
448	6245	7663
449	6259	7651
450	6271	7633
451	6282	7617
452	6294	7601
453	6307	7585
454	6321	7572
455	6335	7558
456	6350	7545
457	6364	7531
458	6378	7517
459	6392	7504
460	6404	7487
461	6418	7474
462	6433	7461
463	6447	7448
464	6461	7434
465	6475	7419
466	6490	7407
467	6502	7391
468	6515	7376
469	6530	7364
470	6544	7350
471	6559	7337
472	6574	7324
473	6589	7311
474	6604	7299
475	6618	7286
476	6630	7270
477	6644	7256
478	6658	7242
479	6670	7225
480	6683	7211
481	6697	7198
482	6712	7184
483	6725	7170
484	6738	7155
485	6765	7155
486	6784	7146
487	6804	7139
488	6821	7128
489	6839	7118
490	6854	7105
491	6866	7090
492	6879	7075
493	6890	7057
494	6904	7043
495	6918	7030
496	6934	7017
497	6948	7004
498	6963	6990
499	6977	6977
500	6992	6964
501	7006	6950
502	7020	6936
503	7035	6924
504	7049	6909
505	7060	6892
506	7075	6879
507	7088	6864
508	7099	6848
509	7110	6831
510	7121	6814
511	7135	6800
512	7149	6786
513	7162	6772
514	7175	6757
515	7188	6742
516	7203	6729
517	7216	6715
518	7231	6702
519	7246	6689
520	7261	6675
521	7273	6660
522	7286	6645
523	7300	6632
524	7312	6616
525	7325	6601
526	7339	6587
527	7354	6574
528	7368	6560
529	7382	6547
530	7395	6531
531	7409	6518
532	7425	6505
533	7439	6492
534	7454	6479
535	7465	6462
536	7479	6448
537	7492	6434
538	7506	6419
539	7520	6406
540	7534	6392
541	7549	6379
542	7563	6365
543	7578	6352
544	7593	6339
545	7607	6325
546	7620	6311
547	7635	6297
548	7648	6283
549	7659	6267
550	7674	6254
551	7689	6240
552	7703	6226
553	7717	6213
554	7731	6198
555	7745	6185
556	7759	6171
557	7774	6158
558	7789	6145
559	7804	6131
560	7816	6116
561	7830	6102
